detector type,Keypoint detection time(ms),total keypoints,descriptor type,descriptor time taken(ms),matcher type,selector type,Matcher time taken(ms),No of matched points,TTC Lidar,matched points in currBB,TTC Camera,
SIFT,118.371,2043,FREAK,60.8273,MAT_BF,SEL_KNN,183.268,448,11.1746,53,11.3657,
SIFT,120.759,2065,FREAK,61.883,MAT_BF,SEL_KNN,193.701,447,12.8086,35,14.3756,
SIFT,119.646,2007,FREAK,60.2176,MAT_BF,SEL_KNN,197.995,471,8.95978,43,10.6798,
SIFT,116.076,2030,FREAK,59.8817,MAT_BF,SEL_KNN,185.727,456,9.96439,38,9.2886,
SIFT,116.945,2048,FREAK,59.5467,MAT_BF,SEL_KNN,192.296,464,9.59863,38,10.8718,
SIFT,119.489,2044,FREAK,61.454,MAT_BF,SEL_KNN,192.353,483,8.52157,46,9.43476,
SIFT,121.114,2086,FREAK,63.8347,MAT_BF,SEL_KNN,202.477,493,9.51556,51,8.53375,
SIFT,120.797,2093,FREAK,63.5095,MAT_BF,SEL_KNN,201.043,530,9.61238,41,9.36457,
SIFT,122.407,2159,FREAK,62.0347,MAT_BF,SEL_KNN,210.821,516,8.3988,42,9.54427,
SIFT,120.768,1890,BRIEF,7.30727,
SIFT,117.124,1915,BRIEF,6.67723,MAT_BF,SEL_KNN,90.5296,670,12.5156,56,12.0019,
SIFT,118.591,1824,BRIEF,7.12918,MAT_BF,SEL_KNN,88.2244,658,12.6142,62,14.8377,
SIFT,119.65,1837,BRIEF,6.74245,MAT_BF,SEL_KNN,84.0865,670,14.091,67,15.3619,
SIFT,117.46,1828,BRIEF,6.87542,MAT_BF,SEL_KNN,87.5403,661,16.6894,69,22.2997,
SIFT,118.828,1875,BRIEF,6.87447,MAT_BF,SEL_KNN,96.5014,617,15.7466,61,15.0725,
SIFT,120.986,1931,BRIEF,7.24577,MAT_BF,SEL_KNN,90.9972,630,12.7834,74,12.6006,
SIFT,121.507,1963,BRIEF,7.33268,MAT_BF,SEL_KNN,92.3566,673,11.9844,78,14.9089,
SIFT,119.411,1954,BRIEF,7.15387,MAT_BF,SEL_KNN,93.5666,639,13.1241,77,15.8058,
SIFT,122.945,1983,BRIEF,6.78858,MAT_BF,SEL_KNN,92.6123,648,13.0241,82,12.1096,
SIFT,131.742,2043,BRIEF,7.16553,MAT_BF,SEL_KNN,97.5577,654,11.1746,57,11.2531,
SIFT,118.432,2065,BRIEF,7.61296,MAT_BF,SEL_KNN,100.532,679,12.8086,60,11.9296,
SIFT,120.918,2007,BRIEF,7.08786,MAT_BF,SEL_KNN,101.042,672,8.95978,65,11.433,
SIFT,120.989,2030,BRIEF,7.92167,MAT_BF,SEL_KNN,99.2012,655,9.96439,66,9.27531,
SIFT,121.215,2048,BRIEF,7.36513,MAT_BF,SEL_KNN,100.424,736,9.59863,66,10.2517,
SIFT,120.595,2044,BRIEF,7.18701,MAT_BF,SEL_KNN,103.523,724,8.52157,61,9.28974,
SIFT,120.161,2086,BRIEF,7.55575,MAT_BF,SEL_KNN,101.178,709,9.51556,67,8.65329,
