detector type,Keypoint detection time(ms),total keypoints,descriptor type,descriptor time taken(ms),matcher type,selector type,Matcher time taken(ms),No of matched points,TTC Lidar,matched points in currBB,TTC Camera,
SHITOMASI,12.9997,1894,FREAK,53.2375,MAT_BF,SEL_KNN,153.807,485,11.9844,47,12.5185,
SHITOMASI,17.7889,1889,FREAK,55.3065,MAT_BF,SEL_KNN,157.13,535,13.1241,52,10.8914,
SHITOMASI,13.2114,1917,FREAK,53.7386,MAT_BF,SEL_KNN,160.047,514,13.0241,44,11.9559,
SHITOMASI,13.5323,1874,FREAK,55.2513,MAT_BF,SEL_KNN,155.844,521,11.1746,47,12.902,
SHITOMASI,14.869,1912,FREAK,53.6735,MAT_BF,SEL_KNN,157.634,507,12.8086,42,11.1899,
SHITOMASI,12.3361,1930,FREAK,54.0838,MAT_BF,SEL_KNN,163.567,507,8.95978,40,12.9405,
SHITOMASI,13.3661,1881,FREAK,55.8624,MAT_BF,SEL_KNN,159.635,485,9.96439,44,12.5287,
SHITOMASI,12.5033,1886,FREAK,53.8367,MAT_BF,SEL_KNN,159.617,529,9.59863,50,11.9191,
SHITOMASI,12.337,1957,FREAK,53.9373,MAT_BF,SEL_KNN,163.605,536,8.52157,45,11.1548,
SHITOMASI,12.8521,1888,FREAK,52.8509,MAT_BF,SEL_KNN,166.809,542,9.51556,38,8.38985,
SHITOMASI,13.8999,1919,FREAK,52.7334,MAT_BF,SEL_KNN,162.309,555,9.61238,41,11.8304,
SHITOMASI,12.5584,2057,FREAK,53.8303,MAT_BF,SEL_KNN,174.486,547,8.3988,40,7.06356,
SHITOMASI,13.2012,2061,FREAK,54.251,MAT_BF,SEL_KNN,187.58,535,8.84414,54,10.6894,
SHITOMASI,12.5852,2029,FREAK,53.4817,MAT_BF,SEL_KNN,188.88,585,7.63865,51,10.5584,
SHITOMASI,13.4153,2138,FREAK,55.3095,MAT_BF,SEL_KNN,192.736,564,6.75918,40,9.78027,
SHITOMASI,12.9026,2178,FREAK,55.5454,MAT_BF,SEL_KNN,202.434,593,8.3923,68,10.793,
SHITOMASI,14.3785,2232,FREAK,56.1588,MAT_BF,SEL_KNN,212.493,613,7.9815,57,10.8922,
SHITOMASI,13.4058,2141,FREAK,55.5535,MAT_BF,SEL_KNN,209.418,617,7.50588,58,10.2336,
SHITOMASI,13.0486,2103,FREAK,53.9088,MAT_BF,SEL_KNN,194.345,589,6.91098,55,10.5282,
SHITOMASI,12.8345,1983,FREAK,54.7776,MAT_BF,SEL_KNN,186.479,608,6.96627,45,8.38261,
SHITOMASI,13.1954,2077,FREAK,54.2524,MAT_BF,SEL_KNN,186.917,626,6.78891,53,10.0833,
SHITOMASI,12.8012,2033,FREAK,54.6056,MAT_BF,SEL_KNN,194.535,623,8.32762,61,13.6686,
SHITOMASI,12.204,1806,FREAK,53.2909,MAT_BF,SEL_KNN,167.338,574,6.96138,53,12.8465,
SHITOMASI,12.9788,2072,FREAK,54.4987,MAT_BF,SEL_KNN,170.208,497,10.5285,59,11.7942,
SHITOMASI,12.7188,2002,FREAK,55.0039,MAT_BF,SEL_KNN,189.098,627,9.89322,70,11.5312,
SHITOMASI,17.1198,1941,FREAK,53.9693,MAT_BF,SEL_KNN,178.729,679,9.31455,75,15.2532,
SHITOMASI,12.2257,1941,FREAK,53.7492,MAT_BF,SEL_KNN,172.847,617,7.0739,54,9.83935,
SHITOMASI,12.6209,1978,FREAK,53.87,MAT_BF,SEL_KNN,174.777,623,10.7467,47,8.81884,
SHITOMASI,13.0764,1868,FREAK,52.1927,MAT_BF,SEL_KNN,165.74,612,7.95998,56,11.1323,
SHITOMASI,13.0763,1843,FREAK,53.5387,MAT_BF,SEL_KNN,157.679,671,10.0309,52,8.46441,
SHITOMASI,20.5391,2008,FREAK,83.6751,MAT_BF,SEL_KNN,350.451,645,6.71108,54,7.39752,
SHITOMASI,20.1072,1902,FREAK,81.1216,MAT_BF,SEL_KNN,355.073,619,6.14828,74,7.82632,
detector type,Keypoint detection time(ms),total keypoints,descriptor type,descriptor time taken(ms),matcher type,selector type,Matcher time taken(ms),No of matched points,TTC Lidar,matched points in currBB,TTC Camera,

ORB,10.2102,467,BRIEF,8.82344,
ORB,7.07937,467,BRIEF,5.31487,MAT_BF,SEL_KNN,15.2043,248,12.5156,28,12.6008,
ORB,4.587,467,BRIEF,2.71707,MAT_BF,SEL_KNN,6.86202,247,12.6142,27,-inf,
ORB,4.57171,467,BRIEF,2.62853,MAT_BF,SEL_KNN,6.77937,240,14.091,29,15.4956,
ORB,4.39526,467,BRIEF,2.61838,MAT_BF,SEL_KNN,7.05293,245,16.6894,32,15.3063,
ORB,4.23688,467,BRIEF,2.64007,MAT_BF,SEL_KNN,6.75128,245,15.7466,21,38.364,
ORB,4.23264,467,BRIEF,2.58855,MAT_BF,SEL_KNN,6.80362,263,12.7834,30,-inf,
ORB,4.01879,467,BRIEF,2.57946,MAT_BF,SEL_KNN,6.69832,238,11.9844,36,-inf,
ORB,4.18965,467,BRIEF,2.58832,MAT_BF,SEL_KNN,6.69943,244,13.1241,40,14.8982,
ORB,4.35764,467,BRIEF,2.92974,MAT_BF,SEL_KNN,7.08501,243,13.0241,40,-inf,
ORB,4.30102,467,BRIEF,2.4959,MAT_BF,SEL_KNN,6.79841,243,11.1746,37,13.2348,
ORB,4.10626,467,BRIEF,2.53798,MAT_BF,SEL_KNN,6.7436,233,12.8086,29,15.4101,
ORB,4.57485,467,BRIEF,2.5584,MAT_BF,SEL_KNN,7.06857,252,8.95978,31,14.0253,
ORB,4.21608,467,BRIEF,2.67174,MAT_BF,SEL_KNN,6.95849,234,9.96439,32,11.5035,
ORB,5.39324,467,BRIEF,4.1881,MAT_BF,SEL_KNN,6.77088,266,9.59863,36,11.5103,
ORB,4.25324,467,BRIEF,2.59406,MAT_BF,SEL_KNN,6.83772,256,8.52157,29,13.3067,
ORB,5.97863,467,BRIEF,3.0549,MAT_BF,SEL_KNN,6.69632,244,9.51556,31,14.5832,
ORB,4.21798,467,BRIEF,2.58723,MAT_BF,SEL_KNN,6.69638,234,9.61238,25,7.72164,
ORB,4.50114,467,BRIEF,2.58247,MAT_BF,SEL_KNN,6.75575,234,8.3988,24,32.5091,
ORB,4.16955,467,BRIEF,2.64683,MAT_BF,SEL_KNN,6.84879,241,8.84414,32,12.1008,
ORB,4.34107,467,BRIEF,2.63606,MAT_BF,SEL_KNN,7.14711,230,7.63865,36,13.5345,
ORB,4.45893,467,BRIEF,2.54688,MAT_BF,SEL_KNN,6.75855,225,6.75918,39,12.6008,
ORB,4.60607,467,BRIEF,2.64884,MAT_BF,SEL_KNN,7.27199,250,8.3923,44,12.7262,
ORB,4.3217,467,BRIEF,2.61668,MAT_BF,SEL_KNN,6.79686,240,7.9815,43,27.4258,
ORB,4.74162,467,BRIEF,2.63504,MAT_BF,SEL_KNN,6.7918,246,7.50588,39,16.3139,
ORB,4.28082,467,BRIEF,2.55295,MAT_BF,SEL_KNN,6.85512,257,6.91098,41,22.8725,
ORB,4.10841,467,BRIEF,2.66904,MAT_BF,SEL_KNN,6.74017,280,6.96627,48,12.7008,
ORB,4.2847,467,BRIEF,2.88225,MAT_BF,SEL_KNN,6.89139,262,6.78891,57,79.172,
ORB,4.49371,467,BRIEF,2.79497,MAT_BF,SEL_KNN,7.30081,270,8.32762,49,19.5918,
ORB,4.6197,467,BRIEF,2.67466,MAT_BF,SEL_KNN,6.88887,263,6.96138,55,16.4122,
ORB,3.54089,467,BRIEF,2.54331,MAT_BF,SEL_KNN,6.7087,258,10.5285,54,-inf,
ORB,4.48922,467,BRIEF,2.58991,MAT_BF,SEL_KNN,6.93412,272,9.89322,61,-inf,
ORB,4.00366,467,BRIEF,2.53661,MAT_BF,SEL_KNN,6.71317,274,9.31455,15,-inf,
ORB,4.21501,467,BRIEF,2.54208,MAT_BF,SEL_KNN,6.8058,252,7.0739,18,-inf,
ORB,4.18663,467,BRIEF,2.60649,MAT_BF,SEL_KNN,6.72904,259,10.7467,24,49.4303,
ORB,4.24578,467,BRIEF,2.54702,MAT_BF,SEL_KNN,6.92495,292,7.95998,39,16.3477,
ORB,4.60199,467,BRIEF,2.60169,MAT_BF,SEL_KNN,6.78239,273,10.0309,25,-inf,
ORB,4.19715,467,BRIEF,2.5835,MAT_BF,SEL_KNN,6.6997,267,6.71108,30,8.43539,
ORB,4.55948,467,BRIEF,2.87416,MAT_BF,SEL_KNN,6.74756,274,6.14828,41,-inf,
ORB,4.29932,467,BRIEF,2.59196,MAT_BF,SEL_KNN,6.81983,291,6.93814,41,-inf,
ORB,4.08119,467,BRIEF,2.6116,MAT_BF,SEL_KNN,7.6854,293,5.82474,60,74.5287,
ORB,4.45532,467,FREAK,42.0743,
ORB,4.00258,467,FREAK,40.8262,MAT_BF,SEL_KNN,1.92058,105,12.5156,15,24.9194,
ORB,4.30186,467,FREAK,40.7318,MAT_BF,SEL_KNN,1.99205,111,12.6142,17,43.2969,
ORB,4.24686,467,FREAK,41.2345,MAT_BF,SEL_KNN,1.97639,118,14.091,16,11.5009,
ORB,4.30765,467,FREAK,40.9251,MAT_BF,SEL_KNN,2.04338,129,16.6894,18,12.0076,
ORB,4.85735,467,FREAK,40.9638,MAT_BF,SEL_KNN,2.14306,114,15.7466,14,-5475.9,
ORB,4.50099,467,FREAK,42.1624,MAT_BF,SEL_KNN,2.23927,130,12.7834,12,10.1261,
ORB,4.23939,467,FREAK,41.1326,MAT_BF,SEL_KNN,2.23674,126,11.9844,17,25.1486,
ORB,4.17456,467,FREAK,40.8803,MAT_BF,SEL_KNN,2.30082,128,13.1241,20,12.186,
ORB,4.25765,467,FREAK,41.6282,MAT_BF,SEL_KNN,2.2116,124,13.0241,17,12.9276,
ORB,4.04043,467,FREAK,41.1468,MAT_BF,SEL_KNN,2.21533,130,11.1746,18,13.3275,
ORB,3.97439,467,FREAK,41.1943,MAT_BF,SEL_KNN,2.29081,137,12.8086,15,21.3894,
ORB,4.20712,467,FREAK,40.8316,MAT_BF,SEL_KNN,2.24776,141,8.95978,18,14.7951,
ORB,4.33529,467,FREAK,40.5606,MAT_BF,SEL_KNN,2.1462,133,9.96439,24,19.4487,
ORB,4.08618,467,FREAK,40.7203,MAT_BF,SEL_KNN,2.06979,127,9.59863,20,11.3226,
ORB,4.27795,467,FREAK,41.0263,MAT_BF,SEL_KNN,2.2244,129,8.52157,13,11.1017,
ORB,3.91944,467,FREAK,40.8692,MAT_BF,SEL_KNN,2.3527,131,9.51556,17,11.6227,
ORB,4.20562,467,FREAK,40.9404,MAT_BF,SEL_KNN,2.37081,121,9.61238,15,8.17007,
ORB,4.11332,467,FREAK,41.4206,MAT_BF,SEL_KNN,2.34298,130,8.3988,13,12.0044,
ORB,5.77586,467,FREAK,55.325,MAT_BF,SEL_KNN,2.24556,127,8.84414,18,22.8448,
ORB,4.07594,467,FREAK,40.9809,MAT_BF,SEL_KNN,2.31416,126,7.63865,11,-inf,
ORB,4.2373,467,FREAK,40.9599,MAT_BF,SEL_KNN,2.32665,130,6.75918,21,12.5624,
ORB,4.13906,467,FREAK,41.1128,MAT_BF,SEL_KNN,2.3413,113,8.3923,7,nan,
ORB,4.39809,467,FREAK,40.9435,MAT_BF,SEL_KNN,2.40009,130,7.9815,9,-inf,
ORB,5.13614,467,FREAK,42.0444,MAT_BF,SEL_KNN,2.39838,144,7.50588,25,12.8307,
ORB,4.27247,467,FREAK,40.9234,MAT_BF,SEL_KNN,2.34295,137,6.91098,8,-inf,
ORB,3.99764,467,FREAK,40.7534,MAT_BF,SEL_KNN,2.29729,148,6.96627,8,-inf,
ORB,4.06864,467,FREAK,42.0384,MAT_BF,SEL_KNN,2.26419,135,6.78891,27,16.8095,
ORB,4.24362,467,FREAK,40.8913,MAT_BF,SEL_KNN,2.33588,126,8.32762,10,-inf,
ORB,4.29536,467,FREAK,40.9556,MAT_BF,SEL_KNN,2.44719,137,6.96138,22,632.938,
ORB,4.05175,467,FREAK,43.059,MAT_BF,SEL_KNN,4.92375,128,10.5285,14,-inf,
ORB,4.35108,467,FREAK,40.9876,MAT_BF,SEL_KNN,2.59377,138,9.89322,24,-inf,
